収集日,検索キーワード,ジャンル,アカウント,投稿日,いいね,返信,リポスト,本文(フック),続き(ツリー),URL
2026-07-08(水),時短,その他,hello_mosa_life,2026-07-03(金),8590,121,0,このデッキが  一番時短で、 一番盛れる気がする。,ささっと、ぺぺっと塗ったら終わり✌️ ▼ そういえば…  このメイクデッキの中身、前にnoteにまとめてました🌿  気になる方がいたら、よかったらどうぞ☺️  https://note.com/mosa_life/n/n61d2f9bdb97a,https://www.threads.com/@hello_mosa_life/post/DaWYil3kzDi
2026-07-08(水),ChatGPT,AI,___my430,2026-07-08(水),3645,103,0,ち◯ぽこロンパースの件、ご報告です🙇🏼‍♀️  改めてご相談させていただいたところ、代表の方からお手紙とお心遣いのお品を送っていただきました。  交換という形にはなりませんでしたが、最後まで私の気持ちに真摯に向き合ってくださり本当に感謝しています。 手紙の中で特に印象に残った一部だけ共有させていただきます。  今回の投稿を見て、ブランドに対して厳しいご意見をくださった方もいらっしゃいましたが、私自身はブランドを批判したくて投稿したわけではありません。 私自身はこれからもHYSTERIC MINIが大好きなので、息子にたくさん着せたいと思っています🥹❤️  今回送っていただいたロンパースもとても可愛くて、お気に入りの1枚になりました🤭  そして、この件にたくさんコメントやメッセージをくださった皆さま、本当にありがとうございました🥹✨ このロンパースも、今回の出来事も、ひとつの思い出として大切に残しておこうと思います🤭  そして、まさかロンパース1枚でこんなにたくさんの方に笑ってもらえるとは思ってもおらず🤣🤣 いつか「ランダムデザインであんなことあったな〜」って、皆さんの記憶の片隅に、、、🥹🎈,,https://www.threads.com/@___my430/post/Dahn4YeAZ8Q
2026-07-08(水),時短,その他,amomo_workingmom,2026-06-29(月),2746,36,0,時短にすれば、職場に気を遣う。 フルタイムにすれば、子どもに申し訳ない。 休めば、仕事に穴をあけた気がする。 休まなければ、母親失格な気がする。  母親って、 どの選択をしても 自分を責める方向に持っていかれがち。  ただ毎日を回してるだけなのにね。,同じように、何を選んでも自分を責めてしまう日ありませんか？ 母親って、ただ毎日を回してるだけでも精一杯ですよね。,https://www.threads.com/@amomo_workingmom/post/DaKvekqGeZA
2026-07-08(水),時短,その他,rkrkr_5,2026-07-02(木),2328,51,0,ハッキリ言います✋ 時短勤務＝余裕をもって仕事も家事も育児もできるわけじゃない 全て中途半端なんです。 時短勤務のママさん、そう思いませんか？,,https://www.threads.com/@rkrkr_5/post/DaSmY6eEeEe
2026-07-08(水),Claude,AI,claudeai,2026-07-07(火),1061,41,0,"Claude Cowork is coming to mobile and web.  Hand Claude a task at your desk and pick up the finished work from your phone. Close the laptop and Claude keeps going.  Beta is rolling out over the next several weeks starting with the Max plan, with more plans to follow.","Scheduled tasks now run even with your computer off. Set client prep for 6am, and Claude works through the threads and transcripts, builds the brief, and leaves the follow-up drafted but unsent.  When a decision needs your judgment, the question comes to your phone. ▼ Chat and Cowork are moving into one home on web and desktop, with one place for your projects and artifacts across both.  Handing Claude a task starts the same way a conversation does. ▼ We're extending doubled Cowork usage limits through August 5, so you can delegate bigger work to Claude.  Read more: https://claude.com/blog/cowork-web-mobile/",https://www.threads.com/@claudeai/post/Daf1kMJkWVS
