収集日,アカウント,ジャンル,投稿日,いいね,返信,リポスト,本文(フック),続き(ツリー),URL
2026-07-08(水),yukina_webwriter,その他,2026-06-27(土),17023,142,0,頼むからどうにかして、、、🥺  もはや額面27万で手取り20万なら、 低所得者って呼んでいいレベルだと思う、、、  手取り30万超えないと普通に暮らすのもしんどい。 どう考えても税金取り過ぎじゃない😇？,,https://www.threads.com/@yukina_webwriter/post/DaFz2P1Ezjk
2026-07-08(水),yukina_webwriter,その他,2026-06-25(木),3582,107,0,ちょっと毒吐かせてください  社員を大事にしない会社なんて まじで痛い目にあえばいい、、、 って正直思ってます。  同じように思う人いませんか？,,https://www.threads.com/@yukina_webwriter/post/DaAk6gQE6xi
2026-07-08(水),yukina_webwriter,その他,2026-06-29(月),3336,66,0,正直さ、、、  ボーナスなのに、なんで税金かかるの？ いつから国のためのボーナスになったの？  同じ人いませんか😢？,,https://www.threads.com/@yukina_webwriter/post/DaKg7f1k_vD
2026-07-08(水),yukina_webwriter,その他,2026-06-28(日),1330,141,0,怒られるかもしれませんが、、、  正直手取り20万円払えない会社は 人を雇うのを禁止にしてほしい、、、,,https://www.threads.com/@yukina_webwriter/post/DaIipEfkyv-
2026-07-08(水),yukina_webwriter,その他,2026-06-26(金),168,24,0,ボーナスいくら？って投稿 よく見るけどさ、、、  もらえる会社にいる時点で 結構恵まれてると思う🥺  もらえないのって少数派？💦,,https://www.threads.com/@yukina_webwriter/post/DaC9uGFE0HS
